                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1862,                 3.7371,                 2.0116,                 0.0034,                      1,                0.49679,                0.33867,                0.76489,                 3.3088,                 1.0643,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0157,                 3.0468,                 1.8764,                0.00176,                0.45513,                0.00193,                 0.0004,                 3.2068,                 4.5305,                 4.3977,               0.086495,               0.001495,               0.001495
                      2,                 1.8422,                  2.002,                 1.7373,                0.00995,                0.17949,                0.00554,                0.00163,                 3.0398,                 422.14,                 7.2502,               0.079285,              0.0022848,              0.0022848
                      3,                 1.8279,                 1.6282,                 1.7034,                0.00185,                0.49359,                0.00223,                0.00063,                 3.4797,                    inf,                 21.618,               0.072069,              0.0030693,              0.0030693
                      4,                 1.8305,                 1.6147,                 1.7385,                 0.0034,                0.44872,                0.00303,                0.00076,                 3.3333,                    inf,                 37.568,               0.064849,              0.0038485,              0.0038485
                      5,                 1.8472,                 1.6778,                  1.715,                 0.0034,                0.44872,                0.00303,                0.00076,                  3.931,                    inf,                 81.538,               0.057622,              0.0046225,              0.0046225
                      6,                 1.7764,                 1.5431,                 1.6644,                0.00224,                0.55769,                0.00225,                0.00062,                 3.5564,                    inf,                 26.693,               0.050391,              0.0053911,              0.0053911
                      7,                 1.7894,                 1.4827,                 1.6817,                0.00013,                0.08333,                0.00014,                  3e-05,                 4.5939,                    inf,                 23.103,               0.043154,              0.0061545,              0.0061545
                      8,                 1.7577,                 1.4295,                 1.6368,                 0.0018,                0.21154,                0.00128,                 0.0002,                  3.874,                    inf,                 17.629,               0.035913,              0.0069126,              0.0069126
                      9,                 1.7792,                 1.4544,                 1.6324,                0.00253,                0.44231,                0.00263,                0.00071,                 3.5429,                    inf,                 22.917,               0.028665,              0.0076654,              0.0076654
                     10,                 1.7151,                 1.3916,                 1.5885,                0.00074,                0.30769,                0.00056,                0.00014,                 3.5558,                    120,                  5.136,               0.021413,              0.0084129,              0.0084129
                     11,                 1.8054,                 1.5155,                 1.6764,                0.00074,                0.30769,                0.00056,                0.00014,                 4.8621,                 52.523,                 11.942,               0.014155,              0.0091552,              0.0091552
                     12,                 1.7348,                 1.4302,                 1.6452,                0.00202,                0.32051,                 0.0014,                0.00025,                 3.8384,                  56.66,                 4.4452,               0.009604,               0.009604,               0.009604
                     13,                 1.7417,                 1.3798,                 1.6417,                0.01116,                0.33333,                0.00824,                0.00279,                 2.8035,                 39.169,                 3.8226,               0.009604,               0.009604,               0.009604
                     14,                  1.762,                 1.3894,                 1.6321,                0.00893,                0.28846,                0.00796,                0.00333,                 2.6955,                 32.405,                 3.1329,               0.009571,               0.009571,               0.009571
                     15,                 1.7407,                 1.3718,                   1.61,                0.00109,                0.12179,                0.00061,                  9e-05,                 4.1607,                 296.01,                 9.3188,               0.009538,               0.009538,               0.009538
                     16,                 1.7471,                 1.3977,                 1.6274,                0.00623,                0.12179,                 0.0023,                0.00074,                 3.2275,                 134.33,                 3.6032,               0.009505,               0.009505,               0.009505
                     17,                 1.6882,                 1.3474,                 1.6112,                 0.5014,                0.08333,                0.01185,                0.00591,                 2.7308,                 157.54,                 3.0466,               0.009472,               0.009472,               0.009472
                     18,                  1.709,                 1.3229,                 1.6169,                0.02764,                0.37179,                0.06317,                0.02474,                 2.6684,                   94.8,                  2.653,               0.009439,               0.009439,               0.009439
                     19,                 1.6976,                 1.2991,                 1.5921,                0.44037,                   0.25,                0.26959,                 0.1057,                 2.5717,                 22.977,                 2.2141,               0.009406,               0.009406,               0.009406
                     20,                 1.6582,                 1.2462,                  1.571,                0.00685,                0.12179,                0.00141,                0.00024,                 3.8365,                 7.5667,                 4.5499,               0.009373,               0.009373,               0.009373
                     21,                  1.633,                 1.2022,                 1.5407,                 0.0008,                0.22436,                0.00079,                0.00025,                 3.5534,                  6.864,                 5.0641,                0.00934,                0.00934,                0.00934
                     22,                 1.6126,                 1.2294,                 1.5279,                0.66309,                0.16667,                0.07934,                0.02871,                  2.843,                 12.234,                 2.6402,               0.009307,               0.009307,               0.009307
                     23,                 1.5959,                  1.169,                 1.5321,                0.16496,                0.33974,                0.13457,                0.02706,                 3.0561,                 37.284,                 2.9818,               0.009274,               0.009274,               0.009274
                     24,                 1.6001,                 1.2069,                  1.533,                0.04781,                0.51923,                0.04886,                0.02051,                  2.509,                 73.381,                 2.3825,               0.009241,               0.009241,               0.009241
                     25,                 1.6292,                 1.2366,                 1.5353,                0.03176,                0.44872,                0.02322,                 0.0054,                  3.387,                 32.056,                 3.4494,               0.009208,               0.009208,               0.009208
                     26,                 1.5775,                 1.1335,                 1.5193,                0.42106,                0.48718,                0.42479,                0.10276,                 2.4474,                 35.273,                 2.3277,               0.009175,               0.009175,               0.009175
                     27,                 1.5742,                 1.1267,                 1.5265,                0.46748,                0.42308,                0.45525,                 0.1591,                 2.4835,                 23.076,                 2.3731,               0.009142,               0.009142,               0.009142
                     28,                 1.5595,                 1.1172,                 1.5052,                0.09273,                0.46154,                0.10061,                0.02595,                 2.8723,                 55.107,                 2.9324,               0.009109,               0.009109,               0.009109
                     29,                 1.5612,                 1.1253,                 1.4847,                0.38171,                0.69874,                0.43598,                0.17581,                 2.2826,                 10.943,                 2.1657,               0.009076,               0.009076,               0.009076
                     30,                 1.5663,                 1.1138,                 1.5026,                0.46046,                0.82527,                0.46323,                0.20812,                 2.3074,                 7.6393,                 2.2441,               0.009043,               0.009043,               0.009043
                     31,                 1.5809,                 1.0874,                 1.5292,                0.48386,                0.59615,                0.61461,                0.21284,                 2.0605,                 5.4781,                 1.8915,                0.00901,                0.00901,                0.00901
                     32,                  1.596,                 1.1184,                 1.5435,                0.41315,                0.38462,                0.45832,                0.18517,                 2.0532,                 7.2561,                  1.822,               0.008977,               0.008977,               0.008977
                     33,                 1.5947,                 1.1445,                 1.5085,                0.47534,                0.44231,                0.46761,                0.14922,                  2.658,                 43.156,                 2.2514,               0.008944,               0.008944,               0.008944
                     34,                 1.5331,                  1.049,                 1.4745,                0.68199,                0.51759,                0.56074,                0.27107,                 2.3104,                 2.8872,                 1.8796,               0.008911,               0.008911,               0.008911
                     35,                 1.5322,                 1.0926,                 1.4773,                 0.1816,                0.45299,                0.15178,                0.06992,                 2.0381,                 8.6648,                 1.8906,               0.008878,               0.008878,               0.008878
                     36,                 1.5432,                 1.0676,                 1.4731,                 0.4302,                0.51465,                0.41831,                0.21238,                 2.1277,                 4.1611,                 2.0588,               0.008845,               0.008845,               0.008845
                     37,                 1.4877,                 1.0314,                 1.4362,                0.59852,                   0.63,                0.58384,                 0.2799,                 2.0894,                 3.1946,                 1.7983,               0.008812,               0.008812,               0.008812
                     38,                 1.5393,                 1.0394,                 1.4887,                0.51338,                0.57397,                0.50291,                0.16805,                 2.6421,                 1.9445,                 2.2324,               0.008779,               0.008779,               0.008779
                     39,                 1.5079,                0.99689,                 1.4653,                0.79532,                 0.5159,                0.62476,                0.29352,                 2.1724,                 2.8132,                 1.9122,               0.008746,               0.008746,               0.008746
                     40,                 1.4878,                  1.009,                 1.4387,                0.51223,                0.84671,                0.52973,                0.23562,                 2.1109,                 8.4487,                 1.7478,               0.008713,               0.008713,               0.008713
                     41,                 1.4996,                 0.9837,                 1.4542,                0.45518,                 0.3783,                0.29838,                0.10496,                 3.0394,                 3.1249,                 2.8702,                0.00868,                0.00868,                0.00868
                     42,                 1.6349,                 1.0678,                 1.5462,                0.48008,                0.54053,                0.56475,                0.24705,                 2.0879,                 4.2829,                 1.8371,               0.008647,               0.008647,               0.008647
                     43,                 1.5488,                 1.1036,                  1.497,                0.45302,                0.72383,                0.64915,                0.24074,                 2.3387,                 9.9957,                 1.9966,               0.008614,               0.008614,               0.008614
                     44,                 1.4752,                 1.0067,                 1.4621,                0.76673,                0.57692,                0.66986,                0.24001,                 2.3686,                 2.6154,                 2.0574,               0.008581,               0.008581,               0.008581
                     45,                 1.4878,                 0.9827,                 1.4415,                0.96156,                0.46154,                0.48233,                0.24025,                 1.8863,                 1.6536,                 1.7705,               0.008548,               0.008548,               0.008548
                     46,                 1.5217,                0.96833,                 1.4679,                 0.3481,                0.32692,                0.35259,                0.15676,                 2.1319,                 2.7186,                 1.9697,               0.008515,               0.008515,               0.008515
                     47,                 1.4474,                0.97054,                 1.4201,                0.47308,                 0.5641,                0.58531,                0.21581,                 2.0782,                 2.0405,                 1.8338,               0.008482,               0.008482,               0.008482
                     48,                  1.452,                0.94438,                  1.436,                0.13808,                0.22727,                0.12306,                0.04936,                 1.9451,                 2.9464,                 1.9171,               0.008449,               0.008449,               0.008449
                     49,                 1.4379,                 0.9894,                 1.4271,                0.73703,                0.83333,                0.70388,                  0.404,                 1.4646,                0.83918,                 1.3741,               0.008416,               0.008416,               0.008416
                     50,                 1.4534,                0.98367,                 1.4239,                0.67547,                0.73077,                0.65439,                0.32343,                 1.9179,                 1.2029,                 1.7072,               0.008383,               0.008383,               0.008383
                     51,                 1.4836,                0.96489,                 1.4435,                0.51132,                0.58333,                0.58296,                0.29784,                 2.0719,                 1.9441,                 1.8863,                0.00835,                0.00835,                0.00835
                     52,                 1.4996,                0.99787,                  1.469,                0.52225,                0.60897,                 0.6153,                0.29014,                 2.2382,                 1.7236,                 1.9117,               0.008317,               0.008317,               0.008317
                     53,                 1.4426,                0.94407,                 1.4325,                0.11786,                0.33333,                0.08342,                  0.015,                 4.3014,                 3.6239,                 4.9542,               0.008284,               0.008284,               0.008284
                     54,                 1.4316,                0.93892,                 1.4238,                0.66877,                0.83333,                0.70046,                0.31137,                 2.0168,                 1.2739,                 1.6907,               0.008251,               0.008251,               0.008251
                     55,                 1.4155,                0.92164,                 1.4061,                0.72264,                0.66667,                0.63301,                0.33594,                 1.7615,                  1.257,                 1.5137,               0.008218,               0.008218,               0.008218
                     56,                 1.4144,                0.95274,                 1.4077,                0.66745,                0.95536,                0.81007,                0.37787,                 1.5847,                0.87117,                 1.4087,               0.008185,               0.008185,               0.008185
                     57,                 1.3775,                 0.8868,                 1.3798,                0.63728,                0.83333,                0.79729,                 0.4503,                 1.7617,                 1.0292,                 1.4704,               0.008152,               0.008152,               0.008152
                     58,                 1.3645,                0.85517,                 1.3659,                0.88032,                0.66667,                0.76217,                0.43912,                 1.6277,                0.82159,                 1.3883,               0.008119,               0.008119,               0.008119
                     59,                 1.3466,                0.85114,                 1.3475,                0.45023,                0.66667,                0.51146,                  0.267,                  1.858,                 1.0923,                 1.5224,               0.008086,               0.008086,               0.008086
                     60,                 1.4101,                0.89411,                 1.4014,                0.54089,                0.62821,                0.59744,                0.26282,                 2.1689,                 1.1183,                 1.7807,               0.008053,               0.008053,               0.008053
                     61,                  1.389,                0.92779,                 1.4201,                0.82182,                0.77564,                0.81977,                0.48821,                 1.4034,                0.89638,                 1.3918,                0.00802,                0.00802,                0.00802
                     62,                 1.3819,                0.90686,                 1.3802,                0.90105,                   0.75,                0.82219,                0.43629,                 1.7339,                  0.813,                 1.4887,               0.007987,               0.007987,               0.007987
                     63,                 1.3887,                0.90507,                 1.4001,                0.86207,                0.73077,                0.74773,                 0.3999,                 1.7381,                0.87318,                 1.5353,               0.007954,               0.007954,               0.007954
                     64,                 1.3694,                0.86094,                 1.3816,                0.65108,                0.88845,                0.78888,                0.37833,                 2.0374,                0.84587,                 1.6538,               0.007921,               0.007921,               0.007921
                     65,                 1.3913,                0.86497,                  1.372,                0.79803,                0.66667,                0.67863,                0.27352,                 2.2412,                 1.3402,                 1.8668,               0.007888,               0.007888,               0.007888
                     66,                 1.3054,                0.81706,                 1.3308,                0.81156,                0.60897,                0.67745,                0.23871,                 2.4933,                 1.0751,                  2.129,               0.007855,               0.007855,               0.007855
                     67,                  1.372,                0.85036,                 1.3641,                0.74234,                   0.75,                0.65572,                 0.2352,                 2.7812,                 1.0065,                 2.4638,               0.007822,               0.007822,               0.007822
                     68,                 1.3541,                0.86011,                 1.3597,                0.55965,                0.48718,                0.51508,                0.21076,                 2.4089,                 2.4337,                 2.1559,               0.007789,               0.007789,               0.007789
                     69,                 1.3367,                0.86203,                 1.3505,                0.67295,                0.77564,                0.68058,                 0.2927,                 2.3352,                  2.696,                 2.0553,               0.007756,               0.007756,               0.007756
                     70,                 1.3793,                0.85641,                 1.3643,                 0.6711,                0.64585,                 0.6506,                0.31273,                  1.932,                 1.5155,                 1.6538,               0.007723,               0.007723,               0.007723
                     71,                  1.378,                0.86538,                 1.3719,                0.47221,                0.50641,                 0.5508,                 0.3024,                 1.6575,                 1.6048,                  1.742,                0.00769,                0.00769,                0.00769
                     72,                 1.4075,                0.86834,                 1.3929,                 0.4356,                0.26047,                0.33532,                0.12195,                 2.7896,                 3.4329,                 2.8336,               0.007657,               0.007657,               0.007657
                     73,                 1.4956,                0.94455,                 1.4477,                0.54015,                0.50178,                0.51899,                0.35806,                 1.4449,                 3.5761,                 1.5233,               0.007624,               0.007624,               0.007624
                     74,                 1.4825,                0.92263,                 1.4265,                0.72461,                0.60077,                0.64476,                0.28737,                 1.9645,                 1.2165,                 1.7143,               0.007591,               0.007591,               0.007591
                     75,                 1.3743,                0.84543,                 1.3627,                0.93797,                   0.75,                0.77099,                0.36314,                  2.003,                0.93264,                 1.6463,               0.007558,               0.007558,               0.007558
                     76,                 1.3705,                0.82792,                  1.378,                0.44852,                0.60897,                0.46883,                0.10534,                 2.9573,                 2.3126,                 2.7082,               0.007525,               0.007525,               0.007525
                     77,                 1.3521,                0.85972,                 1.3534,                0.65841,                0.83333,                0.71619,                0.34803,                 2.0595,                 1.0402,                 1.6312,               0.007492,               0.007492,               0.007492
                     78,                 1.3393,                0.82112,                 1.3395,                0.78233,                0.91667,                  0.845,                0.39996,                 2.1111,                0.79634,                 1.6737,               0.007459,               0.007459,               0.007459
                     79,                 1.3125,                0.82896,                 1.3344,                0.90143,                0.58251,                0.62892,                0.25205,                 2.7503,                  1.329,                 2.5146,               0.007426,               0.007426,               0.007426
                     80,                  1.335,                0.81375,                  1.356,                0.58945,                0.58333,                 0.5569,                0.22483,                 2.4295,                 1.1021,                 1.9361,               0.007393,               0.007393,               0.007393
                     81,                  1.349,                0.86043,                 1.3613,                 0.5557,                0.66667,                0.56548,                 0.2679,                 2.1513,                0.90407,                 1.7128,                0.00736,                0.00736,                0.00736
                     82,                 1.3182,                 0.8322,                 1.3462,                 0.8878,                0.73588,                0.76003,                0.36082,                 2.0697,                   1.05,                 1.7163,               0.007327,               0.007327,               0.007327
                     83,                 1.3069,                0.80153,                 1.3276,                0.86448,                 0.8663,                0.83991,                0.37384,                 2.2532,                0.92447,                 1.8771,               0.007294,               0.007294,               0.007294
                     84,                 1.3043,                0.84262,                 1.3211,                0.84133,                0.74287,                0.76664,                0.30954,                 2.0536,                0.83294,                 1.7434,               0.007261,               0.007261,               0.007261
                     85,                  1.311,                0.78717,                 1.3114,                0.58494,                0.83333,                0.65989,                0.38015,                 1.5848,                 2.2141,                 1.4906,               0.007228,               0.007228,               0.007228
                     86,                 1.3079,                0.79984,                 1.3173,                0.55827,                0.66667,                0.57738,                0.29288,                 1.9159,                 1.1876,                 1.5293,               0.007195,               0.007195,               0.007195
                     87,                 1.2835,                0.79418,                 1.3133,                0.67962,                0.91667,                0.70394,                0.38958,                 1.4801,                0.73205,                 1.2936,               0.007162,               0.007162,               0.007162
                     88,                 1.3467,                0.81757,                 1.3396,                0.87718,                0.82844,                 0.8634,                0.50646,                 1.5818,                0.83661,                 1.4184,               0.007129,               0.007129,               0.007129
                     89,                 1.3227,                0.80153,                 1.3351,                 0.6541,                 0.5641,                0.55857,                0.28862,                 1.9336,                 1.0065,                 1.6164,               0.007096,               0.007096,               0.007096
                     90,                 1.2938,                0.81279,                 1.3193,                0.99849,                0.66626,                0.68488,                0.43625,                  1.723,                0.85911,                 1.4624,               0.007063,               0.007063,               0.007063
                     91,                  1.317,                0.79118,                 1.3304,                0.89746,                   0.75,                0.75374,                0.43023,                 1.7621,                0.76882,                 1.4734,                0.00703,                0.00703,                0.00703
                     92,                 1.2717,                 0.7588,                 1.3084,                0.83414,                   0.75,                0.75668,                0.43311,                 1.4487,                0.67669,                 1.3036,               0.006997,               0.006997,               0.006997
                     93,                 1.2988,                0.78455,                 1.3162,                0.86457,                0.98116,                0.94667,                0.52884,                 1.6087,                 0.7776,                 1.4419,               0.006964,               0.006964,               0.006964
                     94,                 1.2712,                0.74862,                  1.308,                0.79151,                0.87821,                0.88206,                0.41733,                 2.0669,                0.88642,                 1.8019,               0.006931,               0.006931,               0.006931
                     95,                 1.2823,                0.76554,                 1.3178,                0.97336,                0.73158,                0.76291,                0.40318,                 1.7323,                0.82637,                 1.5486,               0.006898,               0.006898,               0.006898
                     96,                 1.2814,                0.77149,                 1.3222,                0.77569,                0.32697,                0.47921,                0.14715,                 2.5718,                 2.4472,                 2.4703,               0.006865,               0.006865,               0.006865
                     97,                  1.294,                0.78112,                 1.3325,                0.76181,                0.91667,                0.90869,                0.42484,                 2.1481,                0.88328,                 1.9431,               0.006832,               0.006832,               0.006832
                     98,                 1.2563,                0.77046,                 1.3024,                0.76262,                0.83333,                0.77983,                 0.3817,                 1.8673,                0.80191,                  1.606,               0.006799,               0.006799,               0.006799
                     99,                 1.2306,                0.75582,                 1.2954,                0.93465,                0.91667,                0.91484,                 0.5673,                 1.2069,                0.65693,                 1.2574,               0.006766,               0.006766,               0.006766
                    100,                 1.2573,                0.77915,                  1.301,                 0.8119,                0.83333,                0.82848,                0.43694,                 1.6777,                0.77587,                 1.5763,               0.006733,               0.006733,               0.006733
                    101,                 1.2752,                0.80232,                 1.2966,                0.73608,                0.71154,                0.68189,                0.31166,                 1.9165,                0.92745,                 1.6318,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3636,                0.86041,                 1.3418,                0.73985,                 0.8141,                0.77962,                0.29037,                 2.3376,                  1.197,                 2.0005,               0.006667,               0.006667,               0.006667
                    103,                 1.2751,                0.78618,                 1.3019,                0.85948,                 0.8141,                0.85766,                0.37816,                 1.9991,                0.95146,                 1.7259,               0.006634,               0.006634,               0.006634
                    104,                 1.2509,                0.74858,                 1.2792,                0.74554,                0.87821,                0.74551,                0.33008,                 1.9381,                0.78527,                 1.6015,               0.006601,               0.006601,               0.006601
                    105,                 1.2681,                0.76497,                 1.2901,                0.71304,                0.87821,                0.80585,                  0.321,                 2.3277,                0.87389,                 2.0112,               0.006568,               0.006568,               0.006568
                    106,                 1.2271,                0.75408,                 1.2642,                0.95371,                0.91667,                0.94929,                0.41653,                 2.1461,                0.79184,                  1.837,               0.006535,               0.006535,               0.006535
                    107,                 1.2609,                0.75899,                 1.2884,                0.78941,                0.74754,                0.79514,                0.50957,                 1.3281,                0.67195,                 1.2812,               0.006502,               0.006502,               0.006502
                    108,                 1.2624,                0.75257,                  1.291,                0.85789,                0.79764,                 0.8398,                 0.4167,                 1.7825,                0.73375,                 1.5889,               0.006469,               0.006469,               0.006469
                    109,                 1.2916,                0.77891,                 1.3035,                0.87625,                0.86799,                0.85606,                0.41676,                 1.9699,                0.78318,                 1.7491,               0.006436,               0.006436,               0.006436
                    110,                 1.2219,                0.74311,                  1.274,                0.73485,                   0.75,                0.76358,                0.42121,                 1.4965,                0.70415,                 1.3799,               0.006403,               0.006403,               0.006403
                    111,                 1.2345,                0.74151,                 1.2751,                0.97064,                0.83333,                0.91738,                0.44874,                 1.7268,                 0.7344,                 1.4996,                0.00637,                0.00637,                0.00637
                    112,                 1.2446,                 0.7505,                 1.2906,                0.97768,                0.83333,                0.85912,                0.40655,                  1.757,                0.75776,                 1.5444,               0.006337,               0.006337,               0.006337
                    113,                 1.2382,                0.73104,                  1.274,                0.77285,                0.73077,                 0.7061,                0.33602,                 2.0026,                0.83116,                 1.7554,               0.006304,               0.006304,               0.006304
                    114,                 1.1976,                0.72027,                 1.2611,                0.67459,                0.76571,                0.73969,                0.41126,                 1.6108,                0.91577,                 1.4678,               0.006271,               0.006271,               0.006271
                    115,                 1.1757,                 0.6825,                 1.2441,                0.78794,                      1,                0.92075,                0.49152,                 1.7492,                0.67155,                 1.5264,               0.006238,               0.006238,               0.006238
                    116,                 1.2017,                0.68442,                 1.2728,                0.89396,                0.91667,                0.88905,                0.40583,                 1.9136,                0.74778,                 1.7156,               0.006205,               0.006205,               0.006205
                    117,                 1.2018,                0.72629,                 1.2628,                 0.8118,                   0.75,                0.73369,                0.40241,                 1.4763,                0.80187,                 1.3331,               0.006172,               0.006172,               0.006172
                    118,                 1.2029,                 0.7111,                 1.2678,                0.88755,                0.83333,                0.88796,                0.40678,                 1.7793,                 1.1212,                   1.64,               0.006139,               0.006139,               0.006139
                    119,                 1.1879,                0.70886,                 1.2547,                0.72765,                0.71108,                0.69852,                0.28165,                 2.2642,                 1.6753,                 1.9602,               0.006106,               0.006106,               0.006106
                    120,                 1.2239,                0.76031,                  1.274,                0.73423,                0.83333,                0.78024,                0.37845,                 1.7792,                0.69037,                 1.5283,               0.006073,               0.006073,               0.006073
                    121,                 1.2451,                0.75488,                 1.2888,                0.79501,                 0.7414,                0.70119,                0.29262,                 2.0859,                 1.0379,                 1.7154,                0.00604,                0.00604,                0.00604
                    122,                  1.335,                0.74652,                 1.3375,                0.69378,                0.83333,                0.72193,                0.40236,                 1.6314,                0.75064,                 1.4338,               0.006007,               0.006007,               0.006007
                    123,                 1.3155,                0.79572,                 1.3287,                0.96163,                 0.8141,                 0.8268,                0.38218,                 1.9638,                0.72133,                 1.6431,               0.005974,               0.005974,               0.005974
                    124,                 1.2461,                0.77747,                 1.3051,                0.72313,                   0.75,                  0.698,                0.37686,                 1.7093,                0.81379,                 1.4917,               0.005941,               0.005941,               0.005941
                    125,                 1.1688,                0.70642,                 1.2478,                0.78208,                   0.75,                 0.7107,                0.38361,                 1.7967,                0.81221,                 1.4898,               0.005908,               0.005908,               0.005908
                    126,                 1.1817,                0.70252,                 1.2366,                0.42407,                 0.4298,                0.45905,                0.12922,                 2.9211,                 2.4855,                 2.7444,               0.005875,               0.005875,               0.005875
                    127,                 1.2732,                0.75204,                 1.2933,                0.67411,                0.83333,                0.71036,                0.25758,                 2.3377,                 1.0187,                  2.044,               0.005842,               0.005842,               0.005842
                    128,                 1.2633,                0.76331,                 1.2994,                0.81137,                0.82223,                0.73274,                0.36523,                 1.7048,                  1.117,                  1.455,               0.005809,               0.005809,               0.005809
                    129,                 1.2451,                0.75875,                 1.2961,                0.76398,                   0.75,                 0.7653,                0.35552,                 1.8144,                0.97069,                 1.5398,               0.005776,               0.005776,               0.005776
                    130,                 1.1762,                0.70379,                 1.2411,                0.73221,                   0.75,                0.76262,                0.40803,                 1.7586,                0.80337,                  1.468,               0.005743,               0.005743,               0.005743
                    131,                 1.1729,                0.69791,                 1.2371,                0.97822,                0.89731,                 0.9153,                0.41383,                  2.149,                0.77879,                 1.8455,                0.00571,                0.00571,                0.00571
                    132,                 1.1663,                0.69581,                 1.2318,                0.83167,                0.77564,                0.77854,                0.34629,                 2.3861,                 1.1117,                 2.1637,               0.005677,               0.005677,               0.005677
                    133,                 1.2167,                0.73197,                 1.2748,                0.87892,                0.91667,                0.85976,                0.45614,                 1.7822,                0.92425,                 1.5361,               0.005644,               0.005644,               0.005644
                    134,                 1.2173,                0.74719,                 1.2718,                0.79782,                0.74345,                 0.6905,                0.30881,                 2.2432,                 1.1007,                 1.8439,               0.005611,               0.005611,               0.005611
                    135,                 1.2811,                0.80751,                 1.2872,                0.64389,                   0.75,                0.71437,                0.37064,                   2.05,                 3.9375,                 1.7477,               0.005578,               0.005578,               0.005578
                    136,                 1.2501,                 0.7649,                 1.3022,                0.93869,                0.66667,                0.69838,                0.34922,                 1.6524,                 1.0537,                 1.4169,               0.005545,               0.005545,               0.005545
                    137,                 1.1926,                0.72472,                 1.2494,                0.73274,                   0.75,                 0.7015,                0.33008,                 1.7591,                0.75205,                 1.5488,               0.005512,               0.005512,               0.005512
                    138,                 1.1706,                0.69072,                 1.2344,                0.78414,                0.90638,                0.83098,                0.33996,                  1.983,                0.81783,                 1.7651,               0.005479,               0.005479,               0.005479
                    139,                 1.1472,                0.67972,                 1.2202,                 0.8679,                0.83333,                0.81072,                 0.4147,                  1.843,                0.78568,                 1.5645,               0.005446,               0.005446,               0.005446
                    140,                 1.2054,                0.68785,                 1.2669,                0.59227,                0.70012,                0.60838,                0.28077,                 2.1196,                 1.0208,                 1.7904,               0.005413,               0.005413,               0.005413
                    141,                 1.1927,                0.70056,                 1.2524,                0.61611,                0.56898,                0.52986,                0.27832,                 1.8752,                 1.0784,                 1.4725,                0.00538,                0.00538,                0.00538
                    142,                 1.2039,                0.72337,                 1.2457,                0.62327,                0.56713,                0.55572,                0.29049,                 1.8971,                 1.0369,                 1.5405,               0.005347,               0.005347,               0.005347
                    143,                 1.1228,                0.66436,                 1.2027,                0.61278,                0.58333,                0.53529,                 0.3451,                 1.4093,                0.79492,                  1.299,               0.005314,               0.005314,               0.005314
                    144,                 1.1605,                0.69804,                 1.2372,                0.47227,                0.58333,                0.50414,                0.30353,                 1.6301,                0.94747,                 1.4373,               0.005281,               0.005281,               0.005281
                    145,                 1.2184,                0.74295,                 1.2694,                0.64154,                0.79487,                0.60095,                0.30759,                 2.0023,                0.82467,                 1.7405,               0.005248,               0.005248,               0.005248
                    146,                 1.1704,                 0.7271,                 1.2552,                0.59567,                0.64744,                0.56072,                 0.3089,                  1.756,                0.85514,                 1.5143,               0.005215,               0.005215,               0.005215
                    147,                 1.1846,                0.71685,                 1.2538,                    0.5,                0.49768,                0.50399,                0.31874,                 1.5013,                0.89948,                 1.2997,               0.005182,               0.005182,               0.005182
                    148,                  1.141,                0.69841,                 1.2257,                0.49804,                0.66667,                0.51948,                0.31085,                 1.6289,                0.90742,                 1.3847,               0.005149,               0.005149,               0.005149
                    149,                 1.1174,                0.67351,                 1.2183,                0.53036,                0.66667,                0.52151,                0.30038,                 1.6392,                0.77846,                    1.4,               0.005116,               0.005116,               0.005116
